brand,model,year,mileage_km,price_rub,city,fuel_type,transmission,body_type,color,engine_volume_l,owners_count
Mercedes-Benz,E-Class,2024,1000,2030000,Воронеж,Дизель,Робот,Седан,Зеленый,1.6,4
Mercedes-Benz,C-Class,2024,10953,2010000,Москва,Бензин,Механика,Кроссовер,Зеленый,2.1,2
Mercedes-Benz,C-Class,2024,52027,1990000,Нижний Новгород,Гибрид,Механика,Внедорожник,Зеленый,3.2,1
Mercedes-Benz,E-Class,2024,10352,1950000,Ростов-на-Дону,Дизель,Автомат,Хэтчбек,Серый,2.9,4
Mercedes-Benz,C-Class,2024,1000,1900000,Красноярск,Дизель,Вариатор,Внедорожник,Серый,1.5,2
Mercedes-Benz,S-Class,2024,3565,1900000,Воронеж,Электро,Вариатор,Хэтчбек,Синий,2.2,2
Mercedes-Benz,E-Class,2023,16235,1870000,Санкт-Петербург,Электро,Механика,Кроссовер,Черный,1.8,4
Mercedes-Benz,GLE,2024,28177,1870000,Самара,Дизель,Механика,Универсал,Красный,3.3,2
Mercedes-Benz,C-Class,2023,20769,1850000,Уфа,Гибрид,Робот,Хэтчбек,Серебристый,3.1,2
Mercedes-Benz,C-Class,2023,5704,1840000,Новосибирск,Бензин,Автомат,Кроссовер,Зеленый,2.4,4
BMW,3 Series,2024,31079,1840000,Санкт-Петербург,Гибрид,Робот,Универсал,Серый,3.3,4
Mercedes-Benz,S-Class,2023,40534,1830000,Уфа,Гибрид,Автомат,Внедорожник,Серебристый,2.3,2
Mercedes-Benz,E-Class,2024,1000,1830000,Челябинск,Электро,Вариатор,Седан,Черный,2.0,3
BMW,5 Series,2024,30277,1820000,Самара,Бензин,Робот,Хэтчбек,Красный,3.0,1
Mercedes-Benz,S-Class,2023,24762,1820000,Ростов-на-Дону,Электро,Робот,Универсал,Белый,2.2,2
BMW,7 Series,2024,22038,1810000,Воронеж,Электро,Робот,Кроссовер,Зеленый,1.4,4
Mercedes-Benz,GLC,2024,4771,1810000,Новосибирск,Гибрид,Механика,Седан,Черный,2.5,4
BMW,X3,2024,24478,1810000,Омск,Дизель,Вариатор,Седан,Серебристый,1.4,3
Mercedes-Benz,GLC,2024,41563,1810000,Самара,Дизель,Вариатор,Седан,Серый,3.4,1
Mercedes-Benz,E-Class,2023,59622,1800000,Челябинск,Гибрид,Механика,Внедорожник,Белый,1.8,1
Mercedes-Benz,E-Class,2024,1000,1790000,Ростов-на-Дону,Дизель,Механика,Седан,Красный,2.8,4
Mercedes-Benz,C-Class,2023,26486,1790000,Пермь,Бензин,Вариатор,Внедорожник,Синий,1.8,1
BMW,X3,2024,26573,1790000,Екатеринбург,Электро,Механика,Седан,Черный,1.3,2
BMW,3 Series,2024,25575,1790000,Самара,Бензин,Механика,Внедорожник,Серый,2.6,4
Mercedes-Benz,C-Class,2024,1000,1760000,Челябинск,Электро,Автомат,Универсал,Синий,1.9,4
Mercedes-Benz,GLE,2023,44198,1760000,Волгоград,Электро,Вариатор,Седан,Красный,2.4,4
Mercedes-Benz,C-Class,2024,1000,1750000,Воронеж,Электро,Автомат,Внедорожник,Синий,1.3,3
Audi,A6,2024,45159,1740000,Волгоград,Электро,Механика,Седан,Белый,3.4,2
Mercedes-Benz,GLC,2023,21788,1730000,Казань,Электро,Вариатор,Хэтчбек,Красный,1.3,2
Mercedes-Benz,C-Class,2024,5404,1730000,Ростов-на-Дону,Гибрид,Механика,Кроссовер,Черный,3.3,3
BMW,X3,2024,13134,1730000,Москва,Гибрид,Вариатор,Универсал,Синий,3.4,2
Audi,A6,2024,6062,1710000,Красноярск,Электро,Автомат,Кроссовер,Синий,3.4,3
Mercedes-Benz,GLE,2024,29488,1700000,Санкт-Петербург,Электро,Автомат,Внедорожник,Черный,2.5,4
Mercedes-Benz,E-Class,2024,32991,1700000,Казань,Гибрид,Механика,Внедорожник,Красный,2.8,1
BMW,X3,2024,38627,1690000,Нижний Новгород,Бензин,Механика,Универсал,Красный,3.1,4
Mercedes-Benz,GLC,2023,27174,1690000,Самара,Электро,Робот,Внедорожник,Черный,2.9,2
Audi,Q5,2024,1000,1690000,Красноярск,Электро,Механика,Универсал,Синий,2.3,3
Mercedes-Benz,S-Class,2024,13275,1690000,Казань,Гибрид,Вариатор,Кроссовер,Красный,1.7,3
Audi,Q7,2024,52173,1690000,Волгоград,Дизель,Автомат,Седан,Серый,1.6,4
Mercedes-Benz,GLC,2023,21847,1680000,Москва,Дизель,Автомат,Кроссовер,Черный,2.6,3
Mercedes-Benz,GLC,2024,18366,1680000,Санкт-Петербург,Гибрид,Автомат,Универсал,Белый,2.6,4
Mercedes-Benz,S-Class,2024,26818,1670000,Новосибирск,Бензин,Робот,Внедорожник,Серебристый,1.9,2
BMW,3 Series,2023,2834,1670000,Красноярск,Электро,Механика,Кроссовер,Зеленый,3.5,4
Mercedes-Benz,GLE,2024,1000,1670000,Уфа,Дизель,Автомат,Кроссовер,Белый,1.2,3
BMW,7 Series,2023,47901,1670000,Самара,Бензин,Вариатор,Внедорожник,Черный,1.6,1
Audi,Q7,2024,38348,1660000,Ростов-на-Дону,Гибрид,Механика,Универсал,Серый,3.4,2
Mercedes-Benz,C-Class,2024,22107,1660000,Казань,Электро,Механика,Седан,Синий,1.3,1
Mercedes-Benz,S-Class,2022,49488,1650000,Самара,Гибрид,Робот,Кроссовер,Зеленый,1.5,4
BMW,X5,2024,4004,1650000,Красноярск,Бензин,Робот,Внедорожник,Серый,2.5,2
Audi,Q5,2024,41274,1650000,Новосибирск,Дизель,Автомат,Хэтчбек,Серый,1.6,1
Mercedes-Benz,S-Class,2024,1000,1640000,Нижний Новгород,Дизель,Робот,Кроссовер,Зеленый,1.2,1
BMW,3 Series,2024,14544,1630000,Волгоград,Электро,Вариатор,Седан,Зеленый,3.0,1
Mercedes-Benz,GLC,2023,30008,1630000,Новосибирск,Электро,Робот,Внедорожник,Белый,3.3,2
Mercedes-Benz,GLC,2022,48436,1630000,Омск,Дизель,Робот,Кроссовер,Серый,2.8,3
Mercedes-Benz,C-Class,2023,2799,1620000,Уфа,Бензин,Автомат,Универсал,Зеленый,1.9,3
BMW,7 Series,2024,14155,1610000,Нижний Новгород,Дизель,Робот,Хэтчбек,Синий,2.8,2
Audi,A4,2023,1000,1610000,Пермь,Гибрид,Механика,Хэтчбек,Зеленый,1.5,4
Audi,Q5,2024,1000,1610000,Нижний Новгород,Гибрид,Робот,Седан,Серебристый,2.3,3
BMW,X5,2023,56560,1600000,Нижний Новгород,Электро,Автомат,Седан,Белый,2.3,2
Audi,Q7,2023,39171,1590000,Уфа,Гибрид,Механика,Хэтчбек,Черный,3.2,3
Mercedes-Benz,GLE,2022,63661,1590000,Уфа,Бензин,Автомат,Кроссовер,Белый,1.3,1
Mercedes-Benz,C-Class,2022,32568,1590000,Санкт-Петербург,Электро,Механика,Седан,Красный,2.7,3
Mercedes-Benz,S-Class,2023,65638,1590000,Самара,Бензин,Механика,Хэтчбек,Серебристый,2.7,1
Audi,A3,2024,21878,1590000,Воронеж,Бензин,Механика,Универсал,Черный,3.2,2
Mercedes-Benz,GLC,2022,21815,1580000,Челябинск,Электро,Робот,Хэтчбек,Синий,1.4,4
BMW,X5,2024,23298,1580000,Казань,Электро,Робот,Хэтчбек,Красный,2.7,4
Mercedes-Benz,GLE,2022,43286,1580000,Волгоград,Бензин,Робот,Внедорожник,Белый,1.5,3
BMW,5 Series,2023,13330,1580000,Уфа,Бензин,Робот,Кроссовер,Синий,1.7,3
BMW,3 Series,2023,54110,1580000,Красноярск,Дизель,Вариатор,Внедорожник,Черный,2.2,4
Audi,A6,2023,46897,1560000,Екатеринбург,Электро,Автомат,Внедорожник,Зеленый,1.5,3
BMW,5 Series,2023,54281,1560000,Казань,Гибрид,Вариатор,Кроссовер,Черный,2.2,3
Audi,A6,2024,10951,1560000,Самара,Электро,Вариатор,Универсал,Белый,2.1,1
Audi,Q5,2023,24497,1550000,Волгоград,Бензин,Механика,Хэтчбек,Серебристый,2.9,1
BMW,X5,2023,44269,1550000,Казань,Гибрид,Робот,Хэтчбек,Белый,3.0,1
Mercedes-Benz,S-Class,2022,63949,1540000,Новосибирск,Гибрид,Вариатор,Хэтчбек,Красный,1.6,2
Audi,A4,2024,1000,1540000,Красноярск,Бензин,Автомат,Универсал,Серый,1.6,1
Audi,A4,2023,47305,1540000,Москва,Бензин,Механика,Внедорожник,Красный,2.7,3
BMW,X3,2023,17086,1530000,Москва,Электро,Механика,Универсал,Красный,2.2,4
Mercedes-Benz,GLC,2023,40428,1530000,Нижний Новгород,Электро,Механика,Хэтчбек,Красный,2.9,4
Audi,Q5,2024,34163,1530000,Санкт-Петербург,Бензин,Вариатор,Хэтчбек,Зеленый,1.9,3
Mercedes-Benz,E-Class,2021,25408,1530000,Новосибирск,Дизель,Вариатор,Внедорожник,Серый,3.2,3
Audi,A4,2024,1000,1520000,Санкт-Петербург,Гибрид,Автомат,Седан,Красный,2.0,4
BMW,X3,2023,13992,1510000,Самара,Электро,Робот,Седан,Синий,2.5,2
BMW,X5,2024,1000,1510000,Челябинск,Бензин,Робот,Кроссовер,Синий,2.8,1
Audi,Q7,2023,44206,1510000,Челябинск,Дизель,Вариатор,Хэтчбек,Серебристый,3.3,2
BMW,3 Series,2024,50560,1510000,Омск,Бензин,Робот,Кроссовер,Красный,1.5,2
BMW,X3,2022,45875,1500000,Волгоград,Бензин,Вариатор,Хэтчбек,Зеленый,2.5,2
BMW,7 Series,2023,6709,1500000,Красноярск,Электро,Механика,Универсал,Серый,1.9,2
Audi,A4,2024,27470,1500000,Новосибирск,Бензин,Автомат,Кроссовер,Зеленый,2.4,2
Mercedes-Benz,C-Class,2022,28158,1490000,Ростов-на-Дону,Дизель,Механика,Хэтчбек,Зеленый,3.4,3
Mercedes-Benz,E-Class,2021,87251,1490000,Красноярск,Бензин,Механика,Хэтчбек,Серебристый,3.4,1
Mercedes-Benz,GLE,2022,88709,1490000,Омск,Электро,Автомат,Седан,Белый,3.0,2
BMW,7 Series,2024,8048,1480000,Пермь,Бензин,Механика,Седан,Серый,1.9,1
BMW,7 Series,2022,53116,1480000,Нижний Новгород,Дизель,Робот,Кроссовер,Зеленый,2.2,1
BMW,X5,2024,23330,1470000,Волгоград,Гибрид,Автомат,Внедорожник,Красный,1.3,3
BMW,7 Series,2022,31956,1470000,Пермь,Гибрид,Робот,Внедорожник,Красный,2.9,3
Audi,Q7,2023,4848,1470000,Челябинск,Электро,Автомат,Седан,Красный,1.3,2
BMW,7 Series,2024,33718,1470000,Омск,Гибрид,Механика,Седан,Серебристый,2.0,1
BMW,X3,2022,44350,1460000,Воронеж,Электро,Механика,Универсал,Зеленый,2.1,3
BMW,3 Series,2024,1000,1460000,Санкт-Петербург,Бензин,Автомат,Внедорожник,Зеленый,3.2,3
Mercedes-Benz,C-Class,2023,41838,1460000,Екатеринбург,Дизель,Автомат,Седан,Черный,2.9,1
Audi,Q5,2022,60765,1450000,Новосибирск,Бензин,Автомат,Внедорожник,Зеленый,2.8,2
BMW,X5,2024,39305,1450000,Красноярск,Электро,Робот,Универсал,Зеленый,2.8,3
Mercedes-Benz,GLC,2022,71486,1440000,Екатеринбург,Дизель,Автомат,Хэтчбек,Красный,1.8,4
Audi,A4,2022,30560,1440000,Уфа,Дизель,Робот,Внедорожник,Красный,3.1,3
BMW,5 Series,2022,60901,1430000,Екатеринбург,Бензин,Робот,Универсал,Серебристый,2.1,2
Audi,A6,2024,40540,1430000,Воронеж,Дизель,Вариатор,Седан,Черный,2.9,3
Audi,Q5,2022,47442,1430000,Челябинск,Дизель,Вариатор,Внедорожник,Красный,3.4,4
Audi,Q5,2023,61589,1420000,Санкт-Петербург,Электро,Робот,Хэтчбек,Белый,2.0,3
BMW,X5,2022,35046,1410000,Пермь,Бензин,Робот,Седан,Синий,3.1,4
BMW,5 Series,2022,75869,1410000,Самара,Дизель,Автомат,Седан,Белый,2.9,4
Audi,Q5,2023,9623,1410000,Москва,Гибрид,Робот,Седан,Серый,3.5,1
Mercedes-Benz,E-Class,2022,51107,1410000,Санкт-Петербург,Дизель,Автомат,Хэтчбек,Зеленый,2.3,3
Audi,Q5,2022,51451,1400000,Воронеж,Дизель,Автомат,Седан,Белый,1.8,1
BMW,X5,2022,32486,1400000,Челябинск,Бензин,Механика,Хэтчбек,Черный,2.9,4
BMW,7 Series,2023,54560,1400000,Нижний Новгород,Дизель,Вариатор,Кроссовер,Синий,3.2,4
Audi,A6,2024,29717,1400000,Пермь,Электро,Вариатор,Универсал,Белый,2.8,2
Audi,Q5,2022,11805,1390000,Челябинск,Бензин,Вариатор,Внедорожник,Серебристый,1.8,1
BMW,5 Series,2021,93659,1390000,Челябинск,Бензин,Механика,Кроссовер,Серый,1.5,1
Audi,A4,2024,17421,1390000,Омск,Дизель,Вариатор,Универсал,Синий,2.5,1
